tender_id,client,category,estimated_value_omr,competitor_count,margin_percent,icv_score,omanization_percent,won
OM-HIST-20000,OQ,Oil & Gas Infrastructure,30704,2,27.25,22.24,39.07,1
OM-HIST-20001,PDO,Medical Supplies,1738997,3,22.71,11.59,36.09,1
OM-HIST-20002,PDO,Medical Supplies,68096,2,21.84,45.8,75.59,1
OM-HIST-20003,PDO,Electrical Substation,233968,11,13.35,53.47,79.32,1
OM-HIST-20004,OQ,Electrical Substation,553860,7,13.34,20.77,79.63,1
OM-HIST-20005,PDO,Electrical Substation,41687,3,15.77,27.2,47.19,1
OM-HIST-20006,OQ,Electrical Substation,63309,10,8.74,56.11,35.12,1
OM-HIST-20007,Nama Group,Medical Supplies,71928,15,15.85,19.61,34.52,0
OM-HIST-20008,Nama Group,Construction,66145,3,30.66,53.32,54.71,0
OM-HIST-20009,PDO,Construction,66001,4,16.11,20.48,47.35,0
OM-HIST-20010,PDO,Oil & Gas Infrastructure,73095,11,24.05,36.71,45.91,0
OM-HIST-20011,Royal Oman Police,Construction,558951,12,25.64,20.98,51.08,0
OM-HIST-20012,OQ,Oil & Gas Infrastructure,10506131,5,29.65,50.25,56.08,1
OM-HIST-20013,PDO,Medical Supplies,492721,13,14.44,42.77,55.72,0
OM-HIST-20014,PDO,Electrical Substation,35823,4,12.95,22.33,66.49,1
OM-HIST-20015,PDO,Medical Supplies,81555,8,31.93,29.97,44.26,0
OM-HIST-20016,PDO,Medical Supplies,29856,9,7.73,12.36,37.13,0
OM-HIST-20017,Ministry of Transport,Electrical Substation,58960,11,6.91,29.08,94.75,1
OM-HIST-20018,PDO,Medical Supplies,389720,15,33.27,44.01,37.45,0
OM-HIST-20019,Ministry of Health,Construction,46220,14,24.23,15.58,58.26,0
OM-HIST-20020,Ministry of Transport,Construction,20000,10,27.86,35.38,36.92,0
OM-HIST-20021,PDO,Medical Supplies,30961,11,10.97,28.7,40.5,0
OM-HIST-20022,Ministry of Health,Medical Supplies,569317,2,22.97,34.43,37.27,1
OM-HIST-20023,OQ,Construction,279974,5,6.74,53.9,91.55,1
OM-HIST-20024,Ministry of Health,Electrical Substation,1533635,15,7.08,48.03,79.78,1
OM-HIST-20025,OQ,Electrical Substation,20000,10,9.95,36.38,69.43,0
OM-HIST-20026,PDO,Medical Supplies,20000,14,26.9,20.06,50.26,0
OM-HIST-20027,Nama Group,Construction,117065,9,31.99,32.57,46.11,0
OM-HIST-20028,OQ,Oil & Gas Infrastructure,49817,11,21.62,39.42,30.47,0
OM-HIST-20029,PDO,Oil & Gas Infrastructure,48400,5,7.02,11.57,51.48,0
OM-HIST-20030,Royal Oman Police,Construction,345301,12,19.56,36.96,77.02,0
OM-HIST-20031,Ministry of Transport,Medical Supplies,73523,9,12.29,33.65,56.46,1
OM-HIST-20032,Ministry of Transport,Electrical Substation,1274154,7,17.71,33.35,77.39,0
OM-HIST-20033,Ministry of Transport,Oil & Gas Infrastructure,56778,2,17.08,26.97,86.01,1
OM-HIST-20034,PDO,IT Services,1099757,10,18.46,31.09,48.11,1
OM-HIST-20035,Ministry of Transport,Oil & Gas Infrastructure,164007,9,29.24,52.8,36.36,0
OM-HIST-20036,OQ,Medical Supplies,89924,15,5.44,14.66,78.98,1
OM-HIST-20037,OQ,Electrical Substation,127780,9,19.44,53.23,88.66,1
OM-HIST-20038,Nama Group,Oil & Gas Infrastructure,39553,8,12.96,49.2,59.58,1
OM-HIST-20039,Royal Oman Police,Medical Supplies,20000,12,26.55,17.74,49.29,0
OM-HIST-20040,PDO,Medical Supplies,189761,13,21.27,47.4,33.72,0
OM-HIST-20041,Nama Group,Medical Supplies,121961,15,20.93,12.84,63.01,0
OM-HIST-20042,PDO,Oil & Gas Infrastructure,270961,11,7.04,53.09,56.25,0
OM-HIST-20043,PDO,Medical Supplies,903683,5,22.37,11.99,35.33,0
OM-HIST-20044,PDO,Medical Supplies,48886,10,14.49,23.04,73.53,1
OM-HIST-20045,Nama Group,Construction,392497,8,8.93,42.28,59.72,1
OM-HIST-20046,PDO,Oil & Gas Infrastructure,77641,2,18.75,59.92,94.75,1
OM-HIST-20047,PDO,IT Services,188995,10,12.96,56.66,87.26,0
OM-HIST-20048,Nama Group,Construction,165002,6,9.73,51.69,75.73,1
OM-HIST-20049,PDO,Medical Supplies,33075,2,25.04,37.73,90.56,1
OM-HIST-20050,Nama Group,IT Services,412842,6,8.46,15.35,65.96,1
OM-HIST-20051,PDO,Medical Supplies,50267,5,26.53,20.18,71.23,0
OM-HIST-20052,Royal Oman Police,Electrical Substation,95309,6,32.16,52.31,36.0,0
OM-HIST-20053,Nama Group,Construction,228934,2,5.11,48.56,71.41,1
OM-HIST-20054,Nama Group,Electrical Substation,100033,10,26.17,38.05,37.27,0
OM-HIST-20055,Ministry of Transport,IT Services,240343,10,6.08,28.46,65.91,1
OM-HIST-20056,OQ,Oil & Gas Infrastructure,1142918,6,15.94,56.65,93.19,1
OM-HIST-20057,Ministry of Transport,Construction,236981,5,25.46,43.35,52.99,0
OM-HIST-20058,Nama Group,Electrical Substation,228532,11,27.48,56.29,45.39,0
OM-HIST-20059,PDO,IT Services,252611,8,5.74,46.83,51.59,1
OM-HIST-20060,PDO,IT Services,211556,6,9.78,45.06,54.87,1
OM-HIST-20061,Nama Group,Electrical Substation,27256,5,10.99,55.92,52.73,1
OM-HIST-20062,Ministry of Health,IT Services,52745,5,5.71,19.66,51.34,0
OM-HIST-20063,Ministry of Health,Construction,690426,7,24.24,29.98,93.77,1
OM-HIST-20064,Nama Group,Oil & Gas Infrastructure,44291,3,31.31,23.06,67.74,0
OM-HIST-20065,OQ,Oil & Gas Infrastructure,42861,3,22.9,27.28,81.12,1
OM-HIST-20066,Royal Oman Police,Medical Supplies,608048,3,16.56,38.83,46.56,0
OM-HIST-20067,Nama Group,Oil & Gas Infrastructure,165960,10,32.77,36.92,76.76,0
OM-HIST-20068,Nama Group,IT Services,20000,7,17.94,57.44,89.85,0
OM-HIST-20069,Ministry of Health,Oil & Gas Infrastructure,32651,13,32.0,35.36,73.35,0
OM-HIST-20070,Royal Oman Police,Construction,135104,10,8.82,31.02,91.12,0
OM-HIST-20071,Royal Oman Police,IT Services,45697,11,22.07,30.3,84.19,0
OM-HIST-20072,Ministry of Transport,IT Services,40575,8,28.57,40.33,50.95,0
OM-HIST-20073,Nama Group,IT Services,211033,10,19.2,55.06,81.74,1
OM-HIST-20074,Nama Group,Oil & Gas Infrastructure,230137,6,20.46,41.65,51.79,0
OM-HIST-20075,Royal Oman Police,IT Services,177604,12,14.31,50.33,39.58,1
OM-HIST-20076,Ministry of Transport,Electrical Substation,602396,11,30.49,13.64,56.94,0
OM-HIST-20077,Ministry of Health,IT Services,20609,13,25.89,34.72,45.86,0
OM-HIST-20078,Ministry of Transport,Oil & Gas Infrastructure,256959,14,30.81,54.27,80.6,0
OM-HIST-20079,Royal Oman Police,Medical Supplies,352417,9,6.51,22.46,85.14,1
OM-HIST-20080,Ministry of Health,Electrical Substation,1198189,12,20.93,37.95,50.62,0
OM-HIST-20081,Ministry of Health,Electrical Substation,101427,11,29.45,54.6,57.74,0
OM-HIST-20082,OQ,Electrical Substation,208466,4,27.31,33.73,46.85,0
OM-HIST-20083,PDO,Construction,5240816,14,28.33,34.23,45.55,0
OM-HIST-20084,PDO,Construction,87395,5,13.15,25.99,65.11,1
OM-HIST-20085,PDO,IT Services,80185,8,25.82,45.32,34.17,1
OM-HIST-20086,PDO,Medical Supplies,1690559,9,17.47,20.34,57.31,0
